"","TypeI","Type2a","Type2a2x","colMax","ID","Filename","Type","Exercise","Laminin","Area","Sample","FibreType"
"18",0.573684210526309,801.881578947368,108.584210526316,801.881578947368,65,"DS1","FT"," Pre",328,6238.93528183716,"P2","Type2a"
"19",0.573684210526309,865.881578947368,117.584210526316,865.881578947368,501,"DS1","FT"," Pre",377,4832.35908141962,"P2","Type2a"
"20",0.588235294117645,123.856470588235,487.178823529412,487.178823529412,108,"PL4","FT","Post",276,1298.32985386221,"P4","Type2a2x"
"21",1.08536585365854,186.243902439024,539.560975609756,539.560975609756,156,"PL1","FT"," Pre",251,1337.4739039666,"P4","Type2a2x"
"22",1.08536585365854,191.243902439024,519.560975609756,519.560975609756,125,"PL1","FT"," Pre",219,2915.34446764092,"P4","Type2a2x"
"23",1.08536585365854,209.243902439024,440.560975609756,440.560975609756,142,"PL1","FT"," Pre",332,5555.3235908142,"P4","Type2a2x"
"24",1.08536585365854,261.243902439024,338.560975609756,338.560975609756,147,"PL1","FT"," Pre",289,2090.1878914405,"P4","Type2a2x"
"25",1.08536585365854,261.243902439024,493.560975609756,493.560975609756,254,"PL1","FT"," Pre",260,3851.7745302714,"P4","Type2a2x"
"26",1.08536585365854,276.243902439024,456.560975609756,456.560975609756,155,"PL1","FT"," Pre",248,5314.50939457202,"P4","Type2a2x"
"27",1.08536585365854,394.243902439024,398.560975609756,398.560975609756,133,"PL1","FT"," Pre",251,5053.5490605428,"P4","Type2a2x"
"28",1.08536585365854,395.243902439024,286.560975609756,395.243902439024,85,"PL1","FT"," Pre",238,3020.45929018789,"P4","Type2a"
"29",1.08536585365854,455.243902439024,496.560975609756,496.560975609756,121,"PL1","FT"," Pre",258,3867.11899791232,"P4","Type2a2x"
"30",1.08536585365854,559.243902439024,440.560975609756,559.243902439024,123,"PL1","FT"," Pre",249,2629.64509394572,"P4","Type2a"
"31",1.08536585365854,614.243902439024,342.560975609756,614.243902439024,253,"PL1","FT"," Pre",266,5413.67432150313,"P4","Type2a"
"32",1.08536585365854,744.243902439024,151.560975609756,744.243902439024,130,"PL1","FT"," Pre",297,1050.20876826722,"P4","Type2a"
"33",1.08910891089108,324.57095709571,507.382838283828,507.382838283828,353,"AB1","FT"," Pre",378,5969.41544885177,"P3","Type2a2x"
"34",1.08910891089108,563.57095709571,90.3828382838284,563.57095709571,362,"AB1","FT"," Pre",259,4519.41544885177,"P3","Type2a"
"35",1.08910891089108,743.57095709571,80.3828382838284,743.57095709571,349,"AB1","FT"," Pre",349,10374.739039666,"P3","Type2a"
"36",1.09251101321586,112.330396475771,486.149779735683,486.149779735683,584,"PJ1","FT"," Pre",227,6135.28183716075,"P5","Type2a2x"
"37",1.09251101321586,216.330396475771,362.149779735683,362.149779735683,74,"PJ1","FT"," Pre",218,3844.05010438413,"P5","Type2a2x"
"38",1.09251101321586,371.330396475771,59.1497797356828,371.330396475771,190,"PJ1","FT"," Pre",188,5547.07724425887,"P5","Type2a"
"39",1.09251101321586,46.3303964757709,27.1497797356828,46.3303964757709,134,"PJ1","FT"," Pre",350,5264.50939457202,"P5","Type2a"
"40",1.09251101321586,502.330396475771,80.1497797356828,502.330396475771,602,"PJ1","FT"," Pre",244,7275.99164926931,"P5","Type2a"
"41",1.09251101321586,563.330396475771,80.1497797356828,563.330396475771,79,"PJ1","FT"," Pre",261,1673.1732776618,"P5","Type2a"
"42",1.09251101321586,572.330396475771,111.149779735683,572.330396475771,489,"PJ1","FT"," Pre",236,3985.80375782881,"P5","Type2a"
"43",1.09251101321586,623.330396475771,43.1497797356828,623.330396475771,549,"PJ1","FT"," Pre",196,5830.06263048017,"P5","Type2a"
"44",1.09251101321586,694.330396475771,87.1497797356828,694.330396475771,65,"PJ1","FT"," Pre",302,6110.64718162839,"P5","Type2a"
"45",1.09251101321586,743.330396475771,174.149779735683,743.330396475771,400,"PJ1","FT"," Pre",314,2092.06680584551,"P5","Type2a"
"46",1.09251101321586,812.330396475771,78.1497797356828,812.330396475771,414,"PJ1","FT"," Pre",249,6231.00208768267,"P5","Type2a"
"47",1.32740213523132,102.20640569395,441.074733096085,441.074733096085,220,"M1189-16","FT"," Pre",262,9599.16492693111,"C2","Type2a2x"
"48",1.37777777777778,120.894444444444,217.307407407407,217.307407407407,199,"M1217-16","FT"," Pre",215,9758.14196242171,"C4","Type2a2x"
"49",1.55696202531646,1248.33227848101,106.101265822785,1248.33227848101,508,"JG4","FT","Post",256,5276.72233820459,"P1","Type2a"
"50",1.57368421052631,201.881578947368,818.584210526316,818.584210526316,301,"DS1","FT"," Pre",310,3312.83924843424,"P2","Type2a2x"
"51",1.57368421052631,208.881578947368,498.584210526316,498.584210526316,113,"DS1","FT"," Pre",258,2569.83298538622,"P2","Type2a2x"
"52",1.57368421052631,217.881578947368,835.584210526316,835.584210526316,505,"DS1","FT"," Pre",275,1963.46555323591,"P2","Type2a2x"
"53",1.57368421052631,311.881578947368,474.584210526316,474.584210526316,120,"DS1","FT"," Pre",266,2537.26513569937,"P2","Type2a2x"
"54",1.57368421052631,327.881578947368,603.584210526316,603.584210526316,448,"DS1","FT"," Pre",324,3320.45929018789,"P2","Type2a2x"
"55",1.57368421052631,348.881578947368,595.584210526316,595.584210526316,446,"DS1","FT"," Pre",309,2858.45511482255,"P2","Type2a2x"
"56",1.57368421052631,700.881578947368,96.5842105263158,700.881578947368,552,"DS1","FT"," Pre",334,4897.59916492693,"P2","Type2a"
"57",1.57368421052631,709.881578947368,413.584210526316,709.881578947368,7,"DS1","FT"," Pre",427,4872.86012526096,"P2","Type2a"
"58",1.57368421052631,818.881578947368,128.584210526316,818.881578947368,506,"DS1","FT"," Pre",306,3832.77661795407,"P2","Type2a"
"59",1.57368421052631,887.881578947368,135.584210526316,887.881578947368,104,"DS1","FT"," Pre",421,4941.64926931106,"P2","Type2a"
"60",10.0853658536585,1074.24390243902,96.5609756097561,1074.24390243902,134,"PL1","FT"," Pre",324,5384.75991649269,"P4","Type2a"
"61",10.0853658536585,1089.24390243902,115.560975609756,1089.24390243902,101,"PL1","FT"," Pre",263,5519.41544885177,"P4","Type2a"
"62",10.0853658536585,1181.24390243902,102.560975609756,1181.24390243902,97,"PL1","FT"," Pre",299,4788.20459290188,"P4","Type2a"
"63",10.0853658536585,1299.24390243902,92.5609756097561,1299.24390243902,258,"PL1","FT"," Pre",371,8019.93736951983,"P4","Type2a"
"64",10.0853658536585,1705.24390243902,94.5609756097561,1705.24390243902,35,"PL1","FT"," Pre",298,8606.68058455115,"P4","Type2a"
"65",10.0853658536585,311.243902439024,561.560975609756,561.560975609756,276,"PL1","FT"," Pre",317,1498.95615866388,"P4","Type2a2x"
"66",10.0853658536585,350.243902439024,648.560975609756,648.560975609756,205,"PL1","FT"," Pre",329,1214.71816283925,"P4","Type2a2x"
"67",10.0853658536585,385.243902439024,433.560975609756,433.560975609756,36,"PL1","FT"," Pre",273,2039.56158663883,"P4","Type2a2x"
"68",10.0853658536585,475.243902439024,290.560975609756,475.243902439024,189,"PL1","FT"," Pre",313,2260.64718162839,"P4","Type2a"
"69",10.0853658536585,626.243902439024,239.560975609756,626.243902439024,214,"PL1","FT"," Pre",313,4724.42588726514,"P4","Type2a"
"70",10.0853658536585,739.243902439024,59.5609756097561,739.243902439024,211,"PL1","FT"," Pre",302,4850.83507306889,"P4","Type2a"
"71",10.0853658536585,753.243902439024,93.5609756097561,753.243902439024,90,"PL1","FT"," Pre",254,5368.99791231733,"P4","Type2a"
"72",10.0853658536585,799.243902439024,47.5609756097561,799.243902439024,216,"PL1","FT"," Pre",337,7267.95407098121,"P4","Type2a"
"73",10.0853658536585,868.243902439024,94.5609756097561,868.243902439024,195,"PL1","FT"," Pre",310,5635.49060542797,"P4","Type2a"
"74",10.0853658536585,895.243902439024,358.560975609756,895.243902439024,238,"PL1","FT"," Pre",290,2794.05010438413,"P4","Type2a"
"75",10.0853658536585,909.243902439024,73.5609756097561,909.243902439024,199,"PL1","FT"," Pre",319,7235.80375782881,"P4","Type2a"
"76",10.0853658536585,933.243902439024,106.560975609756,933.243902439024,100,"PL1","FT"," Pre",275,4224.94780793319,"P4","Type2a"
"77",10.0853658536585,982.243902439024,87.5609756097561,982.243902439024,128,"PL1","FT"," Pre",278,4611.27348643006,"P4","Type2a"
"78",10.0891089108911,608.57095709571,123.382838283828,608.57095709571,258,"AB1","FT"," Pre",336,2888.51774530271,"P3","Type2a"
"79",10.0891089108911,635.57095709571,109.382838283828,635.57095709571,281,"AB1","FT"," Pre",370,4941.02296450939,"P3","Type2a"
"80",10.0891089108911,650.57095709571,86.3828382838284,650.57095709571,58,"AB1","FT"," Pre",321,4431.31524008351,"P3","Type2a"
"81",10.0891089108911,693.57095709571,91.3828382838284,693.57095709571,44,"AB1","FT"," Pre",402,7045.40709812109,"P3","Type2a"
"82",10.0925110132159,1428.33039647577,100.149779735683,1428.33039647577,108,"PJ1","FT"," Pre",353,4374.94780793319,"P5","Type2a"
"83",10.0925110132159,294.330396475771,46.1497797356828,294.330396475771,16,"PJ1","FT"," Pre",226,6425.46972860125,"P5","Type2a"
"84",10.0925110132159,359.330396475771,429.149779735683,429.149779735683,364,"PJ1","FT"," Pre",279,4287.78705636743,"P5","Type2a2x"
"85",10.0925110132159,402.330396475771,311.149779735683,402.330396475771,610,"PJ1","FT"," Pre",313,5130.58455114823,"P5","Type2a"
"86",10.0925110132159,478.330396475771,56.1497797356828,478.330396475771,390,"PJ1","FT"," Pre",262,6424.94780793319,"P5","Type2a"
"87",10.0925110132159,494.330396475771,84.1497797356828,494.330396475771,476,"PJ1","FT"," Pre",257,5036.22129436326,"P5","Type2a"
"88",10.0925110132159,502.330396475771,82.1497797356828,502.330396475771,250,"PJ1","FT"," Pre",254,8716.28392484342,"P5","Type2a"
"89",10.0925110132159,576.330396475771,401.149779735683,576.330396475771,457,"PJ1","FT"," Pre",239,5010.54279749478,"P5","Type2a"
"90",10.0925110132159,602.330396475771,83.1497797356828,602.330396475771,268,"PJ1","FT"," Pre",306,6106.68058455115,"P5","Type2a"
"91",10.0925110132159,667.330396475771,267.149779735683,667.330396475771,227,"PJ1","FT"," Pre",290,6230.48016701461,"P5","Type2a"
"92",10.0925110132159,706.330396475771,129.149779735683,706.330396475771,613,"PJ1","FT"," Pre",317,8602.81837160752,"P5","Type2a"
"93",10.0925110132159,712.330396475771,385.149779735683,712.330396475771,264,"PJ1","FT"," Pre",321,3922.75574112735,"P5","Type2a"
"94",10.0925110132159,726.330396475771,86.1497797356828,726.330396475771,473,"PJ1","FT"," Pre",299,7957.20250521921,"P5","Type2a"
"95",10.0925110132159,735.330396475771,67.1497797356828,735.330396475771,555,"PJ1","FT"," Pre",384,8071.71189979123,"P5","Type2a"
"96",10.0925110132159,861.330396475771,98.1497797356828,861.330396475771,409,"PJ1","FT"," Pre",348,9152.81837160752,"P5","Type2a"
"97",10.0925110132159,914.330396475771,92.1497797356828,914.330396475771,277,"PJ1","FT"," Pre",289,6298.01670146138,"P5","Type2a"
"98",10.0925110132159,946.330396475771,143.149779735683,946.330396475771,442,"PJ1","FT"," Pre",288,4570.77244258873,"P5","Type2a"
"99",10.0925110132159,946.330396475771,283.149779735683,946.330396475771,525,"PJ1","FT"," Pre",308,3601.04384133612,"P5","Type2a"
"100",10.0925110132159,984.330396475771,102.149779735683,984.330396475771,244,"PJ1","FT"," Pre",277,5194.57202505219,"P5","Type2a"
"101",10.3274021352313,103.20640569395,391.074733096085,391.074733096085,17,"M1189-16","FT"," Pre",214,8556.57620041754,"C2","Type2a2x"
"102",10.3274021352313,105.20640569395,419.074733096085,419.074733096085,57,"M1189-16","FT"," Pre",306,4970.77244258873,"C2","Type2a2x"
"103",10.3274021352313,114.20640569395,441.074733096085,441.074733096085,549,"M1189-16","FT"," Pre",413,8440.1878914405,"C2","Type2a2x"
"104",10.3274021352313,158.20640569395,278.074733096085,278.074733096085,507,"M1189-16","FT"," Pre",230,9524.1127348643,"C2","Type2a2x"
"105",10.3274021352313,166.20640569395,660.074733096085,660.074733096085,554,"M1189-16","FT"," Pre",379,3897.07724425887,"C2","Type2a2x"
"106",10.3274021352313,312.20640569395,615.074733096085,615.074733096085,290,"M1189-16","FT"," Pre",234,2861.79540709812,"C2","Type2a2x"
"107",10.3274021352313,494.20640569395,89.0747330960854,494.20640569395,555,"M1189-16","FT"," Pre",402,7238.4133611691,"C2","Type2a"
"108",10.3274021352313,53.2064056939502,417.074733096085,417.074733096085,108,"M1189-16","FT"," Pre",207,7603.5490605428,"C2","Type2a2x"
"109",10.3274021352313,56.2064056939502,378.074733096085,378.074733096085,496,"M1189-16","FT"," Pre",199,8664.92693110647,"C2","Type2a2x"
"110",10.3274021352313,57.2064056939502,465.074733096085,465.074733096085,520,"M1189-16","FT"," Pre",220,6110.22964509395,"C2","Type2a2x"
"111",10.3274021352313,66.2064056939502,443.074733096085,443.074733096085,505,"M1189-16","FT"," Pre",228,6408.24634655532,"C2","Type2a2x"
"112",10.3274021352313,69.2064056939502,416.074733096085,416.074733096085,147,"M1189-16","FT"," Pre",313,3534.75991649269,"C2","Type2a2x"
"113",10.3274021352313,81.2064056939502,582.074733096085,582.074733096085,170,"M1189-16","FT"," Pre",236,3504.4885177453,"C2","Type2a2x"
"114",10.3777777777778,114.894444444444,280.307407407407,280.307407407407,391,"M1217-16","FT"," Pre",457,7365.86638830898,"C4","Type2a2x"
"115",10.3777777777778,131.894444444444,192.307407407407,192.307407407407,411,"M1217-16","FT"," Pre",208,9415.86638830898,"C4","Type2a2x"
"116",10.3777777777778,134.894444444444,371.307407407407,371.307407407407,613,"M1217-16","FT"," Pre",223,3391.9624217119,"C4","Type2a2x"
"117",10.3777777777778,140.894444444444,189.307407407407,189.307407407407,221,"M1217-16","FT"," Pre",210,6414.92693110647,"C4","Type2a2x"
"118",10.3777777777778,145.894444444444,184.307407407407,184.307407407407,231,"M1217-16","FT"," Pre",335,7854.38413361169,"C4","Type2a2x"
"119",10.3777777777778,145.894444444444,224.307407407407,224.307407407407,746,"M1217-16","FT"," Pre",240,1631.41962421712,"C4","Type2a2x"
"120",10.3777777777778,145.894444444444,255.307407407407,255.307407407407,552,"M1217-16","FT"," Pre",234,4842.48434237996,"C4","Type2a2x"
"121",10.3777777777778,147.894444444444,246.307407407407,246.307407407407,32,"M1217-16","FT"," Pre",255,1138.83089770355,"C4","Type2a2x"
"122",10.3777777777778,162.894444444444,295.307407407407,295.307407407407,759,"M1217-16","FT"," Pre",209,2264.61377870564,"C4","Type2a2x"
"123",10.3777777777778,166.894444444444,265.307407407407,265.307407407407,604,"M1217-16","FT"," Pre",254,3830.48016701461,"C4","Type2a2x"
"124",10.3777777777778,167.894444444444,285.307407407407,285.307407407407,1213,"M1217-16","FT"," Pre",257,9347.49478079332,"C4","Type2a2x"
"125",10.3777777777778,181.894444444444,244.307407407407,244.307407407407,415,"M1217-16","FT"," Pre",260,6979.95824634655,"C4","Type2a2x"
"126",10.3777777777778,192.894444444444,242.307407407407,242.307407407407,291,"M1217-16","FT"," Pre",232,5010.22964509395,"C4","Type2a2x"
"127",10.3777777777778,192.894444444444,276.307407407407,276.307407407407,350,"M1217-16","FT"," Pre",226,4320.87682672234,"C4","Type2a2x"
"128",10.3777777777778,194.894444444444,386.307407407407,386.307407407407,441,"M1217-16","FT"," Pre",249,6273.06889352818,"C4","Type2a2x"
"129",10.3777777777778,195.894444444444,178.307407407407,195.894444444444,722,"M1217-16","FT"," Pre",226,4453.44467640919,"C4","Type2a"
"130",10.3777777777778,195.894444444444,276.307407407407,276.307407407407,607,"M1217-16","FT"," Pre",213,3632.25469728601,"C4","Type2a2x"
"131",10.3777777777778,202.894444444444,351.307407407407,351.307407407407,389,"M1217-16","FT"," Pre",247,9048.95615866388,"C4","Type2a2x"
"132",10.3777777777778,209.894444444444,531.307407407407,531.307407407407,572,"M1217-16","FT"," Pre",254,2986.53444676409,"C4","Type2a2x"
"133",10.3777777777778,212.894444444444,283.307407407407,283.307407407407,474,"M1217-16","FT"," Pre",260,2808.0375782881,"C4","Type2a2x"
"134",10.3777777777778,232.894444444444,385.307407407407,385.307407407407,204,"M1217-16","FT"," Pre",246,3091.12734864301,"C4","Type2a2x"
"135",10.3777777777778,241.894444444444,394.307407407407,394.307407407407,182,"M1217-16","FT"," Pre",249,3921.08559498956,"C4","Type2a2x"
"136",10.3777777777778,246.894444444444,164.307407407407,246.894444444444,523,"M1217-16","FT"," Pre",232,6589.35281837161,"C4","Type2a"
"137",10.3777777777778,274.894444444444,136.307407407407,274.894444444444,110,"M1217-16","FT"," Pre",255,3876.20041753653,"C4","Type2a"
"138",10.3777777777778,274.894444444444,234.307407407407,274.894444444444,13,"M1217-16","FT"," Pre",275,2741.9624217119,"C4","Type2a"
"139",10.3777777777778,319.894444444444,63.3074074074074,319.894444444444,191,"M1217-16","FT"," Pre",287,5585.38622129436,"C4","Type2a"
"140",10.3777777777778,352.894444444444,100.307407407407,352.894444444444,483,"M1217-16","FT"," Pre",242,1927.24425887265,"C4","Type2a"
"141",10.3777777777778,362.894444444444,71.3074074074074,362.894444444444,254,"M1217-16","FT"," Pre",298,10252.1920668058,"C4","Type2a"
"142",10.3777777777778,408.894444444444,61.3074074074074,408.894444444444,748,"M1217-16","FT"," Pre",227,5864.92693110647,"C4","Type2a"
"143",10.3777777777778,409.894444444444,54.3074074074074,409.894444444444,270,"M1217-16","FT"," Pre",249,5837.57828810021,"C4","Type2a"
"144",10.3777777777778,420.894444444444,76.3074074074074,420.894444444444,776,"M1217-16","FT"," Pre",231,3921.81628392484,"C4","Type2a"
"145",10.3777777777778,439.894444444444,60.3074074074074,439.894444444444,307,"M1217-16","FT"," Pre",270,7042.48434237996,"C4","Type2a"
"146",10.3777777777778,464.894444444444,61.3074074074074,464.894444444444,565,"M1217-16","FT"," Pre",208,4827.34864300626,"C4","Type2a"
"147",10.3777777777778,507.894444444444,59.3074074074074,507.894444444444,295,"M1217-16","FT"," Pre",263,4674.1127348643,"C4","Type2a"
"148",10.3777777777778,93.8944444444444,191.307407407407,191.307407407407,409,"M1217-16","FT"," Pre",200,3704.27974947808,"C4","Type2a2x"
"149",10.4837209302326,552.479069767442,66.2186046511628,552.479069767442,210,"JG1","FT"," Pre",352,6092.17118997912,"P1","Type2a"
"150",10.4837209302326,620.479069767442,51.2186046511628,620.479069767442,221,"JG1","FT"," Pre",387,1320.5636743215,"P1","Type2a"
"151",10.506,730.076,94.142,730.076,32,"DS4","FT","Post",274,6631.94154488518,"P2","Type2a"
"152",10.5569620253165,1133.33227848101,280.101265822785,1133.33227848101,495,"JG4","FT","Post",275,3812.73486430063,"P1","Type2a"
"153",10.5569620253165,1889.33227848101,194.101265822785,1889.33227848101,496,"JG4","FT","Post",333,3276.09603340292,"P1","Type2a"
"154",10.5569620253165,2529.33227848101,196.101265822785,2529.33227848101,6,"JG4","FT","Post",330,2913.15240083507,"P1","Type2a"
"155",10.5569620253165,818.332278481013,141.101265822785,818.332278481013,449,"JG4","FT","Post",295,7228.81002087683,"P1","Type2a"
"156",10.5569620253165,887.332278481013,104.101265822785,887.332278481013,437,"JG4","FT","Post",294,6377.55741127349,"P1","Type2a"
"157",10.5736842105263,1204.88157894737,139.584210526316,1204.88157894737,123,"DS1","FT"," Pre",345,6935.80375782881,"P2","Type2a"
"158",10.5736842105263,1211.88157894737,216.584210526316,1211.88157894737,548,"DS1","FT"," Pre",448,1802.81837160752,"P2","Type2a"
"159",10.5736842105263,164.881578947368,818.584210526316,818.584210526316,437,"DS1","FT"," Pre",311,1229.01878914405,"P2","Type2a2x"
"160",10.5736842105263,241.881578947368,808.584210526316,808.584210526316,228,"DS1","FT"," Pre",290,3027.55741127349,"P2","Type2a2x"
"161",10.5736842105263,256.881578947368,821.584210526316,821.584210526316,362,"DS1","FT"," Pre",306,2706.99373695198,"P2","Type2a2x"
"162",10.5736842105263,521.881578947368,92.5842105263158,521.881578947368,267,"DS1","FT"," Pre",287,3472.23382045929,"P2","Type2a"
